time;ADC1_Channel_1;ADC1_Channel_2;ADC1_Channel_3;ADC1_Channel_4;ADC1_Channel_5;ADC1_Channel_6;ADC1_Channel_7;ADC1_Channel_8;ADC1_Channel_9;ADC1_Channel_10;ADC1_Channel_11;ADC1_Channel_12;ADC1_Channel_13;ADC1_Channel_14;ADC1_Channel_15;ADC1_Channel_16
0;1400;88;316;0;0;4066;0;0;0;0;0;0;0;0;2699;0
1;1391;97;312;0;0;4066;0;0;0;0;0;0;0;0;2699;0
2;1419;80;262;0;0;4066;0;0;0;0;0;0;0;0;2699;0
3;1392;91;325;0;0;4066;0;0;0;0;0;0;0;0;2699;0
4;1400;134;279;0;0;4066;0;0;0;0;0;0;0;0;2699;0
5;1415;87;310;0;0;4066;0;0;0;0;0;0;0;0;2699;0
6;1396;89;280;0;0;4066;0;0;0;0;0;0;0;0;2699;0
7;1421;87;299;0;0;4066;0;0;0;0;0;0;0;0;2699;0
8;1407;85;256;0;0;4066;0;0;0;0;0;0;0;0;2699;0
9;1388;91;276;0;0;4066;0;0;0;0;0;0;0;0;2699;0
10;1412;85;321;0;0;4066;0;0;0;0;0;0;0;0;2699;0
11;1397;92;280;0;0;4066;0;0;0;0;0;0;0;0;2699;0
12;1414;113;294;0;0;4066;0;0;0;0;0;0;0;0;2699;0
13;1407;86;315;0;0;4066;0;0;0;0;0;0;0;0;2699;0
14;1387;92;267;0;0;4066;0;0;0;0;0;0;0;0;2699;0
15;1410;79;308;0;0;4066;0;0;0;0;0;0;0;0;2699;0
16;1394;88;318;0;0;4066;0;0;0;0;0;0;0;0;2699;0
17;1397;103;276;0;0;4066;0;0;0;0;0;0;0;0;2699;0
18;1414;88;270;0;0;4066;0;0;0;0;0;0;0;0;2699;0
19;1391;95;286;0;0;4066;0;0;0;0;0;0;0;0;2699;0
20;1415;79;315;0;0;4066;0;0;0;0;0;0;0;0;2699;0
21;1408;85;316;0;0;4066;0;0;0;0;0;0;0;0;2699;0
22;1383;92;334;0;0;4066;0;0;0;0;0;0;0;0;2699;0
23;1409;80;302;0;0;4066;0;0;0;0;0;0;0;0;2699;0
24;1385;85;307;0;0;4066;0;0;0;0;0;0;0;0;2699;0
25;1404;112;338;0;0;4066;0;0;0;0;0;0;0;0;2699;0
26;1411;84;311;0;0;4066;0;0;0;0;0;0;0;0;2699;0
27;1395;90;274;0;0;4066;0;0;0;0;0;0;0;0;2699;0
28;1417;82;274;0;0;4066;0;0;0;0;0;0;0;0;2699;0
29;1407;82;260;0;0;4066;0;0;0;0;0;0;0;0;2699;0
30;1386;88;331;0;0;4066;0;0;0;0;0;0;0;0;2699;0
31;1407;80;321;0;0;4066;0;0;0;0;0;0;0;0;2699;0
32;1394;92;290;0;0;4066;0;0;0;0;0;0;0;0;2699;0
33;1395;100;310;0;0;4066;0;0;0;0;0;0;0;0;2699;0
34;1423;91;256;0;0;4066;0;0;0;0;0;0;0;0;2699;0
35;1395;96;324;0;0;4066;0;0;0;0;0;0;0;0;2699;0
36;1417;94;345;0;0;4066;0;0;0;0;0;0;0;0;2699;0
37;1407;86;319;0;0;4066;0;0;0;0;0;0;0;0;2699;0
38;1383;92;294;0;0;4066;0;0;0;0;0;0;0;0;2699;0
39;1407;84;317;0;0;4066;0;0;0;0;0;0;0;0;2699;0
40;1395;96;336;0;0;4066;0;0;0;0;0;0;0;0;2699;0
41;1391;97;262;0;0;4066;0;0;0;0;0;0;0;0;2699;0
42;1415;88;305;0;0;4066;0;0;0;0;0;0;0;0;2699;0
43;1398;92;285;0;0;4066;0;0;0;0;0;0;0;0;2699;0
44;1408;117;309;0;0;4066;0;0;0;0;0;0;0;0;2699;0
45;1411;85;248;0;0;4066;0;0;0;0;0;0;0;0;2699;0
46;1392;91;276;0;0;4066;0;0;0;0;0;0;0;0;2699;0
47;1413;83;338;0;0;4066;0;0;0;0;0;0;0;0;2699;0
48;1406;88;273;0;0;4066;0;0;0;0;0;0;0;0;2699;0
49;1382;94;264;0;0;4066;0;0;0;0;0;0;0;0;2699;0
50;1407;79;258;0;0;4066;0;0;0;0;0;0;0;0;2699;0
51;1405;90;285;0;0;4066;0;0;0;0;0;0;0;0;2699;0
52;1388;86;317;0;0;4066;0;0;0;0;0;0;0;0;2699;0
53;1407;80;250;0;0;4066;0;0;0;0;0;0;0;0;2699;0
54;1393;93;272;0;0;4066;0;0;0;0;0;0;0;0;2699;0
55;1391;104;316;0;0;4066;0;0;0;0;0;0;0;0;2699;0
56;1414;83;299;0;0;4066;0;0;0;0;0;0;0;0;2699;0
57;1393;86;267;0;0;4066;0;0;0;0;0;0;0;0;2699;0
58;1404;129;283;0;0;4066;0;0;0;0;0;0;0;0;2699;0
59;1410;88;254;0;0;4066;0;0;0;0;0;0;0;0;2699;0
60;1392;93;277;0;0;4066;0;0;0;0;0;0;0;0;2699;0
61;1414;82;284;0;0;4066;0;0;0;0;0;0;0;0;2699;0
62;1407;92;258;0;0;4066;0;0;0;0;0;0;0;0;2699;0
63;1392;89;314;0;0;4066;0;0;0;0;0;0;0;0;2699;0
64;1409;85;273;0;0;4066;0;0;0;0;0;0;0;0;2699;0
65;1390;92;319;0;0;4066;0;0;0;0;0;0;0;0;2699;0
66;1412;119;341;0;0;4066;0;0;0;0;0;0;0;0;2699;0
67;1408;88;270;0;0;4066;0;0;0;0;0;0;0;0;2699;0
68;1387;90;284;0;0;4066;0;0;0;0;0;0;0;0;2699;0
69;1409;70;266;0;0;4066;0;0;0;0;0;0;0;0;2699;0
70;1402;83;262;0;0;4066;0;0;0;0;0;0;0;0;2699;0
71;1391;96;261;0;0;4066;0;0;0;0;0;0;0;0;2699;0
72;1414;83;259;0;0;4066;0;0;0;0;0;0;0;0;2699;0
73;1393;92;280;0;0;4066;0;0;0;0;0;0;0;0;2699;0
74;1408;109;345;0;0;4066;0;0;0;0;0;0;0;0;2699;0
75;1416;82;307;0;0;4066;0;0;0;0;0;0;0;0;2699;0
76;1392;93;278;0;0;4066;0;0;0;0;0;0;0;0;2699;0
77;1410;75;268;0;0;4066;0;0;0;0;0;0;0;0;2699;0
78;1406;86;276;0;0;4066;0;0;0;0;0;0;0;0;2699;0
79;1383;88;284;0;0;4066;0;0;0;0;0;0;0;0;2699;0
80;1409;78;264;0;0;4066;0;0;0;0;0;0;0;0;2699;0
81;1393;88;260;0;0;4066;0;0;0;0;0;0;0;0;2699;0
82;1410;123;283;0;0;4066;0;0;0;0;0;0;0;0;2699;0
83;1417;81;300;0;0;4066;0;0;0;0;0;0;0;0;2699;0
84;1391;88;286;0;0;4066;0;0;0;0;0;0;0;0;2699;0
85;1410;78;263;0;0;4066;0;0;0;0;0;0;0;0;2699;0
86;1392;85;273;0;0;4066;0;0;0;0;0;0;0;0;2699;0
87;1395;95;326;0;0;4066;0;0;0;0;0;0;0;0;2699;0
88;1410;82;278;0;0;4066;0;0;0;0;0;0;0;0;2699;0
89;1391;84;305;0;0;4066;0;0;0;0;0;0;0;0;2699;0
90;1411;119;276;0;0;4066;0;0;0;0;0;0;0;0;2699;0
91;1417;80;307;0;0;4066;0;0;0;0;0;0;0;0;2699;0
92;1389;88;340;0;0;4066;0;0;0;0;0;0;0;0;2699;0
93;1403;74;257;0;0;4066;0;0;0;0;0;0;0;0;2699;0
94;1402;85;312;0;0;4066;0;0;0;0;0;0;0;0;2699;0
