time;ADC1_Channel_1;ADC1_Channel_2;ADC1_Channel_3;ADC1_Channel_4;ADC1_Channel_5;ADC1_Channel_6;ADC1_Channel_7;ADC1_Channel_8;ADC1_Channel_9;ADC1_Channel_10;ADC1_Channel_11;ADC1_Channel_12;ADC1_Channel_13;ADC1_Channel_14;ADC1_Channel_15;ADC1_Channel_16
0;1390;96;256;0;0;735;0;0;0;0;0;0;0;0;2699;0
1;1394;94;278;0;0;735;0;0;0;0;0;0;0;0;2699;0
2;1386;94;325;0;0;734;16;0;0;0;0;0;0;0;2699;0
3;1383;92;266;0;0;734;0;0;0;0;0;0;0;0;2699;0
4;1384;92;337;0;0;734;0;0;0;0;0;0;0;0;2699;0
5;1385;99;316;0;0;735;-16;0;0;0;0;0;0;0;2699;0
6;1403;103;343;0;0;735;0;0;0;0;0;0;0;0;2699;0
7;1411;129;293;0;0;734;16;0;0;0;0;0;0;0;2699;0
8;1417;107;332;0;0;734;0;0;0;0;0;0;0;0;2699;0
9;1421;90;272;0;0;735;-16;0;0;0;0;0;0;0;2699;0
10;1412;77;330;0;0;735;0;0;0;0;0;0;0;0;2699;0
11;1412;80;315;0;0;734;16;0;0;0;0;0;0;0;2699;0
12;1412;86;272;0;0;735;-16;0;0;0;0;0;0;0;2699;0
13;1427;88;311;0;0;735;0;0;0;0;0;0;0;0;2699;0
14;1415;80;263;0;0;735;0;0;0;0;0;0;0;0;2699;0
15;1415;89;260;0;0;735;0;0;0;0;0;0;0;0;2699;0
16;1413;86;261;0;0;734;16;0;0;0;0;0;0;0;2699;0
17;1406;85;332;0;0;734;0;0;0;0;0;0;0;0;2699;0
18;1390;87;308;0;0;734;0;0;0;0;0;0;0;0;2699;0
19;1399;92;280;0;0;735;-16;0;0;0;0;0;0;0;2699;0
20;1396;94;272;0;0;734;16;0;0;0;0;0;0;0;2699;0
21;1399;85;261;0;0;734;0;0;0;0;0;0;0;0;2699;0
22;1389;90;310;0;0;735;-16;0;0;0;0;0;0;0;2699;0
23;1386;90;312;0;0;734;16;0;0;0;0;0;0;0;2699;0
24;1387;88;328;0;0;734;0;0;0;0;0;0;0;0;2699;0
25;1381;92;269;0;0;734;0;0;0;0;0;0;0;0;2699;0
26;1389;92;301;0;0;734;0;0;0;0;0;0;0;0;2699;0
27;1402;96;336;0;0;734;0;0;0;0;0;0;0;0;2699;0
28;1407;122;306;0;0;734;0;0;0;0;0;0;0;0;2699;0
29;1424;97;330;0;0;734;0;0;0;0;0;0;0;0;2699;0
30;1405;82;283;0;0;734;0;0;0;0;0;0;0;0;2699;0
31;1407;76;288;0;0;734;0;0;0;0;0;0;0;0;2699;0
32;1407;76;316;0;0;734;0;0;0;0;0;0;0;0;2699;0
33;1414;80;301;0;0;734;0;0;0;0;0;0;0;0;2699;0
34;1418;81;314;0;0;734;0;0;0;0;0;0;0;0;2699;0
35;1417;84;316;0;0;734;0;0;0;0;0;0;0;0;2699;0
36;1418;85;258;0;0;734;0;0;0;0;0;0;0;0;2699;0
37;1411;88;272;0;0;735;-16;0;0;0;0;0;0;0;2699;0
38;1421;89;290;0;0;734;16;0;0;0;0;0;0;0;2699;0
39;1408;84;250;0;0;734;0;0;0;0;0;0;0;0;2699;0
40;1401;93;276;0;0;734;0;0;0;0;0;0;0;0;2699;0
41;1407;90;329;0;0;734;0;0;0;0;0;0;0;0;2699;0
42;1394;92;265;0;0;735;-16;0;0;0;0;0;0;0;2699;0
43;1396;96;283;0;0;734;16;0;0;0;0;0;0;0;2699;0
44;1392;90;324;0;0;734;0;0;0;0;0;0;0;0;2699;0
45;1395;94;313;0;0;734;0;0;0;0;0;0;0;0;2699;0
46;1381;91;287;0;0;734;0;0;0;0;0;0;0;0;2699;0
47;1386;86;325;3;0;734;0;0;0;0;0;0;0;0;2699;0
48;1387;86;307;62;0;734;0;0;0;0;0;0;0;0;2699;0
49;1395;99;266;0;0;734;0;0;0;0;0;0;0;0;2699;0
50;1407;132;316;0;0;735;-16;0;0;0;0;0;0;0;2699;0
51;1427;96;290;0;0;735;0;0;0;0;0;0;0;0;2699;0
52;1414;76;311;0;0;734;16;0;0;0;0;0;0;0;2699;0
53;1407;79;270;0;0;734;0;0;0;0;0;0;0;0;2699;0
54;1422;79;301;0;0;734;0;0;0;0;0;0;0;0;2699;0
55;1420;80;314;0;0;734;0;0;0;0;0;0;0;0;2699;0
56;1422;84;247;0;0;734;0;0;0;0;0;0;0;0;2699;0
57;1420;81;292;0;0;734;0;0;0;0;0;0;0;0;2699;0
58;1414;78;324;0;0;734;0;0;0;0;0;0;0;0;2699;0
59;1410;86;317;0;0;735;-16;0;0;0;0;0;0;0;2699;0
60;1400;85;273;0;0;735;0;0;0;0;0;0;0;0;2699;0
61;1406;88;268;0;0;734;16;0;0;0;0;0;0;0;2699;0
62;1396;90;268;0;0;734;0;0;0;0;0;0;0;0;2699;0
63;1400;86;329;0;0;735;-16;0;0;0;0;0;0;0;2699;0
64;1391;91;273;0;0;735;0;0;0;0;0;0;0;0;2699;0
65;1399;88;270;0;0;734;16;0;0;0;0;0;0;0;2699;0
66;1389;89;263;0;0;734;0;0;0;0;0;0;0;0;2699;0
67;1393;89;273;0;0;734;0;0;0;0;0;0;0;0;2699;0
68;1385;86;299;0;0;734;0;0;0;0;0;0;0;0;2699;0
69;1395;94;297;0;0;734;0;0;0;0;0;0;0;0;2699;0
70;1384;87;279;0;0;734;0;0;0;0;0;0;0;0;2699;0
71;1390;91;288;0;0;734;0;0;0;0;0;0;0;0;2699;0
72;1386;88;310;0;0;735;-16;0;0;0;0;0;0;0;2699;0
73;1379;92;272;0;0;734;16;0;0;0;0;0;0;0;2699;0
74;1389;100;299;0;0;734;0;0;0;0;0;0;0;0;2699;0
75;1405;102;283;0;0;734;0;0;0;0;0;0;0;0;2699;0
76;1412;128;280;0;0;734;0;0;0;0;0;0;0;0;2699;0
77;1412;90;331;0;0;734;0;0;0;0;0;0;0;0;2699;0
78;1415;78;256;0;0;734;0;0;0;0;0;0;0;0;2699;0
79;1415;78;257;0;0;734;0;0;0;0;0;0;0;0;2699;0
80;1413;85;271;0;0;735;-16;0;0;0;0;0;0;0;2699;0
81;1422;83;245;0;0;734;16;0;0;0;0;0;0;0;2699;0
82;1413;88;314;0;0;735;-16;0;0;0;0;0;0;0;2699;0
83;1418;88;246;0;0;735;0;0;0;0;0;0;0;0;2699;0
84;1414;84;269;0;0;734;16;0;0;0;0;0;0;0;2699;0
85;1411;83;313;0;0;734;0;0;0;0;0;0;0;0;2699;0
86;1405;88;326;0;0;734;0;0;0;0;0;0;0;0;2699;0
87;1403;86;311;0;0;734;0;0;0;0;0;0;0;0;2699;0
88;1401;87;277;0;0;734;0;0;0;0;0;0;0;0;2699;0
89;1391;96;303;0;0;734;0;0;0;0;0;0;0;0;2699;0
90;1398;96;280;0;0;734;0;0;0;0;0;0;0;0;2699;0
91;1387;94;253;0;0;734;0;0;0;0;0;0;0;0;2699;0
92;1394;97;322;0;0;734;0;0;0;0;0;0;0;0;2699;0
93;1386;94;274;0;0;734;0;0;0;0;0;0;0;0;2699;0
94;1391;90;283;0;0;734;0;0;0;0;0;0;0;0;2699;0
95;1384;98;290;0;0;735;-16;0;0;0;0;0;0;0;2699;0
96;1385;93;305;0;0;734;16;0;0;0;0;0;0;0;2699;0
97;1379;95;280;0;0;734;0;0;0;0;0;0;0;0;2699;0
98;1393;96;297;0;0;734;0;0;0;0;0;0;0;0;2699;0
99;1407;105;290;0;0;734;0;0;0;0;0;0;0;0;2699;0
100;1413;124;280;0;0;734;0;0;0;0;0;0;0;0;2699;0
101;1422;94;278;0;0;734;0;0;0;0;0;0;0;0;2699;0
102;1409;81;278;0;0;734;0;0;0;0;0;0;0;0;2699;0
103;1422;77;261;0;0;734;0;0;0;0;0;0;0;0;2699;0
104;1411;83;267;0;0;734;0;0;0;0;0;0;0;0;2699;0
105;1420;84;263;0;0;735;-16;0;0;0;0;0;0;0;2699;0
106;1419;88;322;0;0;734;16;0;0;0;0;0;0;0;2699;0
107;1417;88;317;0;0;734;0;0;0;0;0;0;0;0;2699;0
108;1411;88;268;0;0;734;0;0;0;0;0;0;0;0;2699;0
109;1412;86;310;0;0;735;-16;0;0;0;0;0;0;0;2699;0
110;1413;88;260;0;0;735;0;0;0;0;0;0;0;0;2699;0
111;1397;91;280;0;0;734;16;0;0;0;0;0;0;0;2699;0
112;1401;93;283;0;0;734;0;0;0;0;0;0;0;0;2699;0
113;1394;96;274;0;0;734;0;0;0;0;0;0;0;0;2699;0
114;1393;96;262;0;0;735;-16;0;0;0;0;0;0;0;2699;0
115;1385;91;273;0;0;735;0;0;0;0;0;0;0;0;2699;0
116;1392;90;322;0;0;735;0;0;0;0;0;0;0;0;2699;0
117;1386;88;320;2;0;734;16;0;0;0;0;0;0;0;2699;0
118;1391;89;283;0;0;734;0;0;0;0;0;0;0;0;2699;0
119;1386;89;311;0;0;734;0;0;0;0;0;0;0;0;2699;0
120;1386;88;331;0;0;735;-16;0;0;0;0;0;0;0;2699;0
121;1384;91;327;0;0;734;16;0;0;0;0;0;0;0;2699;0
122;1389;101;267;0;0;734;0;0;0;0;0;0;0;0;2699;0
123;1403;104;299;0;0;735;-16;0;0;0;0;0;0;0;2699;0
124;1411;126;334;0;0;734;16;0;0;0;0;0;0;0;2699;0
125;1420;92;337;0;0;734;0;0;0;0;0;0;0;0;2699;0
126;1411;76;275;0;0;734;0;0;0;0;0;0;0;0;2699;0
127;1413;75;299;0;0;734;0;0;0;0;0;0;0;0;2699;0
128;1412;78;304;0;0;735;-16;0;0;0;0;0;0;0;2699;0
129;1420;78;320;0;0;734;16;0;0;0;0;0;0;0;2699;0
130;1423;84;303;0;0;734;0;0;0;0;0;0;0;0;2699;0
131;1414;85;275;0;0;734;0;0;0;0;0;0;0;0;2699;0
132;1411;83;307;0;0;734;0;0;0;0;0;0;0;0;2699;0
133;1405;87;272;0;0;734;0;0;0;0;0;0;0;0;2699;0
134;1393;89;307;0;0;735;-16;0;0;0;0;0;0;0;2699;0
135;1396;95;269;0;0;734;16;0;0;0;0;0;0;0;2699;0
136;1390;90;331;0;0;734;0;0;0;0;0;0;0;0;2699;0
137;1391;88;258;0;0;734;0;0;0;0;0;0;0;0;2699;0
138;1390;87;275;1;0;734;0;0;0;0;0;0;0;0;2699;0
139;1387;86;298;3;0;734;0;0;0;0;0;0;0;0;2699;0
140;1385;81;275;0;0;734;0;0;0;0;0;0;0;0;2699;0
141;1389;97;257;0;0;734;0;0;0;0;0;0;0;0;2699;0
142;1405;96;292;0;0;734;0;0;0;0;0;0;0;0;2699;0
143;1412;129;328;0;0;735;-16;0;0;0;0;0;0;0;2699;0
144;1419;96;304;0;0;734;16;0;0;0;0;0;0;0;2699;0
145;1412;82;266;0;0;734;0;0;0;0;0;0;0;0;2699;0
146;1407;77;318;0;0;734;0;0;0;0;0;0;0;0;2699;0
147;1417;77;302;0;0;734;0;0;0;0;0;0;0;0;2699;0
148;1417;81;305;0;0;734;0;0;0;0;0;0;0;0;2699;0
149;1421;76;264;0;0;734;0;0;0;0;0;0;0;0;2699;0
150;1422;82;250;0;0;735;-16;0;0;0;0;0;0;0;2699;0
151;1419;86;263;0;0;734;16;0;0;0;0;0;0;0;2699;0
152;1411;88;316;0;0;735;-16;0;0;0;0;0;0;0;2699;0
153;1410;86;299;0;0;735;0;0;0;0;0;0;0;0;2699;0
154;1405;88;339;0;0;734;16;0;0;0;0;0;0;0;2699;0
155;1399;92;322;0;0;734;0;0;0;0;0;0;0;0;2699;0
156;1399;97;281;0;0;734;0;0;0;0;0;0;0;0;2699;0
157;1390;90;321;0;0;734;0;0;0;0;0;0;0;0;2699;0
158;1394;94;309;0;0;735;-16;0;0;0;0;0;0;0;2699;0
159;1392;91;306;0;0;735;0;0;0;0;0;0;0;0;2699;0
160;1392;94;275;0;0;735;0;0;0;0;0;0;0;0;2699;0
161;1386;94;312;0;0;735;0;0;0;0;0;0;0;0;2699;0
162;1388;90;290;0;0;735;0;0;0;0;0;0;0;0;2699;0
163;1380;92;286;0;0;734;16;0;0;0;0;0;0;0;2699;0
164;1391;94;273;0;0;734;0;0;0;0;0;0;0;0;2699;0
165;1381;87;320;0;0;734;0;0;0;0;0;0;0;0;2699;0
166;1385;90;272;0;0;734;0;0;0;0;0;0;0;0;2699;0
167;1391;100;313;0;0;734;0;0;0;0;0;0;0;0;2699;0
168;1398;104;283;0;0;735;-16;0;0;0;0;0;0;0;2699;0
169;1401;99;330;0;0;735;0;0;0;0;0;0;0;0;2699;0
170;1416;128;296;0;0;734;16;0;0;0;0;0;0;0;2699;0
171;1414;101;297;0;0;735;-16;0;0;0;0;0;0;0;2699;0
172;1418;98;336;0;0;735;0;0;0;0;0;0;0;0;2699;0
173;1418;83;273;0;0;734;16;0;0;0;0;0;0;0;2699;0
174;1409;79;272;0;0;734;0;0;0;0;0;0;0;0;2699;0
175;1408;75;314;0;0;734;0;0;0;0;0;0;0;0;2699;0
176;1414;82;321;0;0;734;0;0;0;0;0;0;0;0;2699;0
177;1415;77;253;0;0;734;0;0;0;0;0;0;0;0;2699;0
178;1422;82;314;0;0;734;0;0;0;0;0;0;0;0;2699;0
179;1421;80;290;0;0;734;0;0;0;0;0;0;0;0;2699;0
180;1419;86;259;0;0;734;0;0;0;0;0;0;0;0;2699;0
181;1417;88;303;0;0;734;0;0;0;0;0;0;0;0;2699;0
182;1423;86;260;0;0;734;0;0;0;0;0;0;0;0;2699;0
183;1414;87;251;0;0;734;0;0;0;0;0;0;0;0;2699;0
184;1409;85;329;0;0;734;0;0;0;0;0;0;0;0;2699;0
185;1403;84;326;0;0;734;0;0;0;0;0;0;0;0;2699;0
186;1401;85;314;0;0;734;0;0;0;0;0;0;0;0;2699;0
187;1397;88;287;0;0;735;-16;0;0;0;0;0;0;0;2699;0
188;1391;93;273;0;0;734;16;0;0;0;0;0;0;0;2699;0
189;1390;95;278;0;0;734;0;0;0;0;0;0;0;0;2699;0
190;1385;90;297;0;0;734;0;0;0;0;0;0;0;0;2699;0
191;1390;96;270;0;0;734;0;0;0;0;0;0;0;0;2699;0
192;1374;85;331;0;0;734;0;0;0;0;0;0;0;0;2699;0
193;1394;96;267;0;0;735;-16;0;0;0;0;0;0;0;2699;0
194;1400;101;328;0;0;735;0;0;0;0;0;0;0;0;2699;0
195;1410;135;333;0;0;735;0;0;0;0;0;0;0;0;2699;0
196;1418;107;284;0;0;735;0;0;0;0;0;0;0;0;2699;0
197;1422;87;288;0;0;735;0;0;0;0;0;0;0;0;2699;0
198;1411;76;263;0;0;735;0;0;0;0;0;0;0;0;2699;0
199;1408;79;306;0;0;734;16;0;0;0;0;0;0;0;2699;0
200;1420;86;262;0;0;734;0;0;0;0;0;0;0;0;2699;0
201;1418;86;311;0;0;735;-16;0;0;0;0;0;0;0;2699;0
202;1415;84;299;0;0;735;0;0;0;0;0;0;0;0;2699;0
203;1419;87;278;0;0;734;16;0;0;0;0;0;0;0;2699;0
204;1402;86;305;0;0;734;0;0;0;0;0;0;0;0;2699;0
205;1395;93;328;0;0;734;0;0;0;0;0;0;0;0;2699;0
206;1398;93;264;0;0;734;0;0;0;0;0;0;0;0;2699;0
207;1390;89;330;0;0;734;0;0;0;0;0;0;0;0;2699;0
208;1384;96;263;0;0;734;0;0;0;0;0;0;0;0;2699;0
209;1389;92;272;0;0;734;0;0;0;0;0;0;0;0;2699;0
210;1381;90;338;1;0;735;-16;0;0;0;0;0;0;0;2699;0
211;1389;96;276;0;0;735;0;0;0;0;0;0;0;0;2699;0
212;1385;90;330;0;0;735;0;0;0;0;0;0;0;0;2699;0
213;1382;97;269;0;0;735;0;0;0;0;0;0;0;0;2699;0
214;1391;101;278;0;0;734;16;0;0;0;0;0;0;0;2699;0
215;1412;92;336;0;0;734;0;0;0;0;0;0;0;0;2699;0
216;1417;115;288;0;0;734;0;0;0;0;0;0;0;0;2699;0
217;1422;96;334;0;0;735;-16;0;0;0;0;0;0;0;2699;0
218;1410;85;269;0;0;734;16;0;0;0;0;0;0;0;2699;0
219;1409;79;324;0;0;734;0;0;0;0;0;0;0;0;2699;0
220;1412;80;293;0;0;734;0;0;0;0;0;0;0;0;2699;0
221;1414;84;306;0;0;735;-16;0;0;0;0;0;0;0;2699;0
222;1419;89;270;0;0;735;0;0;0;0;0;0;0;0;2699;0
223;1421;90;258;0;0;735;0;0;0;0;0;0;0;0;2699;0
224;1424;87;279;0;0;735;0;0;0;0;0;0;0;0;2699;0
225;1410;86;290;0;0;734;16;0;0;0;0;0;0;0;2699;0
226;1405;88;272;0;0;734;0;0;0;0;0;0;0;0;2699;0
227;1407;91;264;0;0;734;0;0;0;0;0;0;0;0;2699;0
228;1391;94;283;0;0;735;-16;0;0;0;0;0;0;0;2699;0
229;1399;94;313;0;0;735;0;0;0;0;0;0;0;0;2699;0
230;1395;92;310;0;0;734;16;0;0;0;0;0;0;0;2699;0
231;1382;92;318;0;0;735;-16;0;0;0;0;0;0;0;2699;0
232;1390;94;307;2;0;734;16;0;0;0;0;0;0;0;2699;0
233;1388;90;314;0;0;734;0;0;0;0;0;0;0;0;2699;0
234;1396;98;323;0;0;734;0;0;0;0;0;0;0;0;2699;0
235;1409;120;286;0;0;734;0;0;0;0;0;0;0;0;2699;0
236;1418;87;340;0;0;734;0;0;0;0;0;0;0;0;2699;0
237;1413;78;309;0;0;734;0;0;0;0;0;0;0;0;2699;0
238;1412;84;265;0;0;734;0;0;0;0;0;0;0;0;2699;0
239;1423;89;254;0;0;735;-16;0;0;0;0;0;0;0;2699;0
240;1416;90;249;0;0;735;0;0;0;0;0;0;0;0;2699;0
241;1407;85;311;0;0;735;0;0;0;0;0;0;0;0;2699;0
242;1413;88;265;0;0;734;16;0;0;0;0;0;0;0;2699;0
243;1404;88;281;0;0;734;0;0;0;0;0;0;0;0;2699;0
244;1393;91;333;0;0;735;-16;0;0;0;0;0;0;0;2699;0
245;1398;89;304;0;0;734;16;0;0;0;0;0;0;0;2699;0
246;1396;91;282;0;0;734;0;0;0;0;0;0;0;0;2699;0
247;1393;96;263;0;0;734;0;0;0;0;0;0;0;0;2699;0
248;1386;96;282;0;0;734;0;0;0;0;0;0;0;0;2699;0
249;1385;92;264;0;0;734;0;0;0;0;0;0;0;0;2699;0
250;1383;90;288;0;0;734;0;0;0;0;0;0;0;0;2699;0
251;1381;97;324;0;0;734;0;0;0;0;0;0;0;0;2699;0
252;1387;88;333;0;0;734;0;0;0;0;0;0;0;0;2699;0
253;1391;90;306;0;0;734;0;0;0;0;0;0;0;0;2699;0
254;1400;101;324;0;0;734;0;0;0;0;0;0;0;0;2699;0
255;1413;141;291;0;0;734;0;0;0;0;0;0;0;0;2699;0
256;1409;113;344;0;0;734;0;0;0;0;0;0;0;0;2699;0
257;1425;89;318;0;0;734;0;0;0;0;0;0;0;0;2699;0
258;1409;77;327;0;0;734;0;0;0;0;0;0;0;0;2699;0
259;1410;77;260;0;0;735;-16;0;0;0;0;0;0;0;2699;0
260;1408;79;262;0;0;734;16;0;0;0;0;0;0;0;2699;0
261;1412;84;281;0;0;734;0;0;0;0;0;0;0;0;2699;0
