time;ADC1_Channel_1;ADC1_Channel_2;ADC1_Channel_3;ADC1_Channel_4;ADC1_Channel_5;ADC1_Channel_6;ADC1_Channel_7;ADC1_Channel_8;ADC1_Channel_9;ADC1_Channel_10;ADC1_Channel_11;ADC1_Channel_12;ADC1_Channel_13;ADC1_Channel_14;ADC1_Channel_15;ADC1_Channel_16
0;1403;87;254;0;0;1586;0;0;0;0;0;0;0;0;2699;0
1;1390;91;270;3;0;1586;0;0;0;0;0;0;0;0;2699;0
2;1412;82;316;0;0;1586;0;0;0;0;0;0;0;0;2699;0
3;1411;81;318;0;0;1586;0;0;0;0;0;0;0;0;2699;0
4;1390;92;325;3;0;1586;0;0;0;0;0;0;0;0;2699;0
5;1414;121;310;0;0;1586;0;0;0;0;0;0;0;0;2699;0
6;1414;85;253;0;0;1586;0;0;0;0;0;0;0;0;2699;0
7;1396;86;313;0;0;1586;0;0;0;0;0;0;0;0;2699;0
8;1387;94;270;0;0;1586;0;0;0;0;0;0;0;0;2699;0
9;1411;78;279;0;0;1586;0;0;0;0;0;0;0;0;2699;0
10;1407;85;309;0;0;1586;0;0;0;0;0;0;0;0;2699;0
11;1382;92;273;0;0;1586;0;0;0;0;0;0;0;0;2699;0
12;1410;80;325;0;0;1586;0;0;0;0;0;0;0;0;2699;0
13;1412;86;318;10;0;1586;0;0;0;0;0;0;0;0;2699;0
14;1395;96;297;0;0;1586;0;0;0;0;0;0;0;0;2699;0
15;1415;125;346;0;0;1586;0;0;0;0;0;0;0;0;2699;0
16;1421;85;316;0;0;1586;0;0;0;0;0;0;0;0;2699;0
17;1396;96;333;0;0;1586;0;0;0;0;0;0;0;0;2699;0
18;1394;98;257;0;0;1586;0;0;0;0;0;0;0;0;2699;0
19;1412;82;309;0;0;1586;0;0;0;0;0;0;0;0;2699;0
20;1403;91;254;0;0;1586;0;0;0;0;0;0;0;0;2699;0
21;1388;91;261;0;0;1586;0;0;0;0;0;0;0;0;2699;0
22;1410;74;316;0;0;1586;0;0;0;0;0;0;0;0;2699;0
23;1410;86;256;0;0;1586;0;0;0;0;0;0;0;0;2699;0
24;1391;89;320;10;0;1586;0;0;0;0;0;0;0;0;2699;0
25;1418;84;274;0;0;1586;0;0;0;0;0;0;0;0;2699;0
26;1411;87;263;0;0;1586;0;0;0;0;0;0;0;0;2699;0
27;1392;93;285;0;0;1586;0;0;0;0;0;0;0;0;2699;0
28;1408;132;302;0;0;1586;0;0;0;0;0;0;0;0;2699;0
29;1416;85;245;0;0;1586;0;0;0;0;0;0;0;0;2699;0
30;1401;90;260;0;0;1586;0;0;0;0;0;0;0;0;2699;0
31;1394;94;258;0;0;1586;0;0;0;0;0;0;0;0;2699;0
32;1410;80;256;0;0;1586;0;0;0;0;0;0;0;0;2699;0
33;1405;85;265;0;0;1586;0;0;0;0;0;0;0;0;2699;0
34;1385;93;286;0;0;1586;0;0;0;0;0;0;0;0;2699;0
35;1410;76;335;0;0;1586;0;0;0;0;0;0;0;0;2699;0
36;1413;91;300;0;0;1586;0;0;0;0;0;0;0;0;2699;0
37;1394;92;330;1;0;1586;0;0;0;0;0;0;0;0;2699;0
38;1418;98;357;0;0;1586;0;0;0;0;0;0;0;0;2699;0
