time;ADC1_Channel_1;ADC1_Channel_2;ADC1_Channel_3;ADC1_Channel_4;ADC1_Channel_5;ADC1_Channel_6;ADC1_Channel_7;ADC1_Channel_8;ADC1_Channel_9;ADC1_Channel_10;ADC1_Channel_11;ADC1_Channel_12;ADC1_Channel_13;ADC1_Channel_14;ADC1_Channel_15;ADC1_Channel_16
0;1430;96;282;0;0;1493;0;0;0;0;0;0;0;0;2699;0
1;1410;96;311;4;0;1493;0;0;0;0;0;0;0;0;2699;0
2;1447;113;292;0;0;1493;0;0;0;0;0;0;0;0;2699;0
3;1444;84;302;0;0;1493;0;0;0;0;0;0;0;0;2699;0
4;1442;86;304;0;0;1493;0;0;0;0;0;0;0;0;2699;0
5;1420;93;312;0;0;1493;0;0;0;0;0;0;0;0;2699;0
6;1420;89;262;2;0;1493;0;0;0;0;0;0;0;0;2699;0
7;1449;116;319;0;0;1493;0;0;0;0;0;0;0;0;2699;0
8;1450;88;263;0;0;1493;0;0;0;0;0;0;0;0;2699;0
9;1443;89;284;2;0;1493;0;0;0;0;0;0;0;0;2699;0
10;1428;99;286;0;0;1493;0;0;0;0;0;0;0;0;2699;0
11;1421;94;262;12;0;1493;0;0;0;0;0;0;0;0;2699;0
12;1433;106;293;0;0;1493;0;0;0;0;0;0;0;0;2699;0
13;1442;80;304;0;0;1493;0;0;0;0;0;0;0;0;2699;0
14;1446;91;264;0;0;1493;0;0;0;0;0;0;0;0;2699;0
15;1430;96;281;0;0;1493;0;0;0;0;0;0;0;0;2699;0
16;1416;97;325;5;0;1493;0;0;0;0;0;0;0;0;2699;0
17;1424;99;301;0;0;1493;0;0;0;0;0;0;0;0;2699;0
18;1440;83;332;0;0;1493;0;0;0;0;0;0;0;0;2699;0
19;1450;86;310;0;0;1493;0;0;0;0;0;0;0;0;2699;0
20;1432;97;266;0;0;1493;0;0;0;0;0;0;0;0;2699;0
21;1421;96;282;3;0;1493;0;0;0;0;0;0;0;0;2699;0
22;1424;100;315;0;0;1493;0;0;0;0;0;0;0;0;2699;0
23;1440;79;322;0;0;1493;0;0;0;0;0;0;0;0;2699;0
24;1447;88;260;0;0;1493;0;0;0;0;0;0;0;0;2699;0
25;1434;90;329;1;0;1493;0;0;0;0;0;0;0;0;2699;0
26;1420;96;290;6;0;1493;0;0;0;0;0;0;0;0;2699;0
27;1427;100;285;0;0;1493;0;0;0;0;0;0;0;0;2699;0
28;1446;80;268;0;0;1493;0;0;0;0;0;0;0;0;2699;0
29;1448;88;264;0;0;1493;0;0;0;0;0;0;0;0;2699;0
30;1426;90;326;2;0;1493;0;0;0;0;0;0;0;0;2699;0
31;1419;95;284;13;0;1493;0;0;0;0;0;0;0;0;2699;0
32;1434;103;331;0;0;1493;0;0;0;0;0;0;0;0;2699;0
33;1443;84;304;0;0;1493;0;0;0;0;0;0;0;0;2699;0
34;1446;89;308;0;0;1493;0;0;0;0;0;0;0;0;2699;0
35;1430;90;320;0;0;1493;0;0;0;0;0;0;0;0;2699;0
36;1424;97;283;8;0;1493;0;0;0;0;0;0;0;0;2699;0
37;1435;104;273;0;0;1493;0;0;0;0;0;0;0;0;2699;0
38;1442;83;323;0;0;1493;0;0;0;0;0;0;0;0;2699;0
39;1451;90;287;0;0;1493;0;0;0;0;0;0;0;0;2699;0
40;1427;91;325;2;0;1493;0;0;0;0;0;0;0;0;2699;0
41;1416;92;321;8;0;1493;0;0;0;0;0;0;0;0;2699;0
42;1428;99;300;0;0;1493;0;0;0;0;0;0;0;0;2699;0
43;1439;79;330;0;0;1493;0;0;0;0;0;0;0;0;2699;0
44;1455;86;309;0;0;1493;0;0;0;0;0;0;0;0;2699;0
45;1433;90;279;0;0;1493;0;0;0;0;0;0;0;0;2699;0
46;1426;93;318;2;0;1493;0;0;0;0;0;0;0;0;2699;0
47;1414;87;334;0;0;1493;0;0;0;0;0;0;0;0;2699;0
48;1453;104;345;0;0;1493;0;0;0;0;0;0;0;0;2699;0
49;1450;86;265;0;0;1493;0;0;0;0;0;0;0;0;2699;0
50;1438;86;276;0;0;1493;0;0;0;0;0;0;0;0;2699;0
51;1425;93;286;0;0;1493;0;0;0;0;0;0;0;0;2699;0
52;1410;97;279;9;0;1493;0;0;0;0;0;0;0;0;2699;0
53;1443;138;328;0;0;1493;0;0;0;0;0;0;0;0;2699;0
54;1442;78;319;0;0;1493;0;0;0;0;0;0;0;0;2699;0
55;1451;84;262;0;0;1493;0;0;0;0;0;0;0;0;2699;0
56;1429;92;276;0;0;1493;0;0;0;0;0;0;0;0;2699;0
57;1416;94;280;2;0;1493;0;0;0;0;0;0;0;0;2699;0
58;1428;102;264;0;0;1493;0;0;0;0;0;0;0;0;2699;0
59;1442;85;257;0;0;1493;0;0;0;0;0;0;0;0;2699;0
60;1452;84;313;0;0;1493;0;0;0;0;0;0;0;0;2699;0
61;1439;89;273;0;0;1493;0;0;0;0;0;0;0;0;2699;0
62;1420;92;331;0;0;1493;0;0;0;0;0;0;0;0;2699;0
63;1419;88;312;2;0;1493;0;0;0;0;0;0;0;0;2699;0
64;1447;112;274;0;0;1493;0;0;0;0;0;0;0;0;2699;0
65;1443;85;256;0;0;1493;0;0;0;0;0;0;0;0;2699;0
66;1446;91;258;0;0;1493;0;0;0;0;0;0;0;0;2699;0
67;1426;96;269;0;0;1493;0;0;0;0;0;0;0;0;2699;0
68;1418;92;324;25;0;1493;0;0;0;0;0;0;0;0;2699;0
69;1429;103;272;0;0;1493;0;0;0;0;0;0;0;0;2699;0
