time;ADC1_Channel_1;ADC1_Channel_2;ADC1_Channel_3;ADC1_Channel_4;ADC1_Channel_5;ADC1_Channel_6;ADC1_Channel_7;ADC1_Channel_8;ADC1_Channel_9;ADC1_Channel_10;ADC1_Channel_11;ADC1_Channel_12;ADC1_Channel_13;ADC1_Channel_14;ADC1_Channel_15;ADC1_Channel_16
0;1402;90;317;0;0;2792;0;0;0;0;0;0;0;0;2699;0
1;1402;90;300;0;0;2792;0;0;0;0;0;0;0;0;2699;0
2;1401;92;320;0;0;2792;0;0;0;0;0;0;0;0;2699;0
3;1398;93;269;0;0;2792;0;0;0;0;0;0;0;0;2699;0
4;1402;93;270;0;0;2792;0;0;0;0;0;0;0;0;2699;0
5;1400;96;267;0;0;2792;0;0;0;0;0;0;0;0;2699;0
6;1404;89;268;0;0;2792;0;0;0;0;0;0;0;0;2699;0
7;1401;94;259;0;0;2792;0;0;0;0;0;0;0;0;2699;0
8;1402;95;320;0;0;2792;0;0;0;0;0;0;0;0;2699;0
9;1403;88;319;0;0;2792;0;0;0;0;0;0;0;0;2699;0
10;1398;91;271;0;0;2792;0;0;0;0;0;0;0;0;2699;0
11;1401;94;323;0;0;2792;0;0;0;0;0;0;0;0;2699;0
12;1413;88;266;0;0;2792;0;0;0;0;0;0;0;0;2699;0
13;1406;87;277;0;0;2792;0;0;0;0;0;0;0;0;2699;0
14;1408;87;320;0;0;2792;0;0;0;0;0;0;0;0;2699;0
15;1408;89;314;0;0;2792;0;0;0;0;0;0;0;0;2699;0
16;1407;86;296;0;0;2792;0;0;0;0;0;0;0;0;2699;0
17;1409;88;323;0;0;2792;0;0;0;0;0;0;0;0;2699;0
18;1410;90;270;0;0;2792;0;0;0;0;0;0;0;0;2699;0
19;1414;86;326;0;0;2792;0;0;0;0;0;0;0;0;2699;0
20;1410;83;273;0;0;2792;0;0;0;0;0;0;0;0;2699;0
21;1402;91;324;0;0;2792;0;0;0;0;0;0;0;0;2699;0
22;1405;87;331;0;0;2792;0;0;0;0;0;0;0;0;2699;0
23;1407;89;342;0;0;2792;0;0;0;0;0;0;0;0;2699;0
24;1410;88;304;0;0;2792;0;0;0;0;0;0;0;0;2699;0
25;1409;86;311;0;0;2792;0;0;0;0;0;0;0;0;2699;0
