time;ADC1_Channel_1;ADC1_Channel_2;ADC1_Channel_3;ADC1_Channel_4
0;nan;nan;nan;nan
1;nan;nan;nan;nan
2;nan;nan;nan;nan
3;nan;nan;nan;nan
4;nan;nan;nan;nan
5;nan;nan;nan;nan
6;nan;nan;nan;nan
7;nan;nan;nan;nan
8;nan;nan;nan;nan
9;nan;nan;nan;nan
10;nan;nan;nan;nan
11;nan;nan;nan;nan
12;nan;nan;nan;nan
13;nan;nan;nan;nan
14;nan;nan;nan;nan
15;nan;nan;nan;nan
16;nan;nan;nan;nan
17;nan;nan;nan;nan
18;nan;nan;nan;nan
19;1426.1;89.5;326.1;326.1
20;1425.6;88.9;325.75;325.75
21;1425.35;89.0;323.55;323.55
22;1425.5;89.35;321.6;321.6
23;1425.65;89.5;322.05;322.05
24;1425.45;89.7;319.3;319.3
25;1425.0;88.65;319.3;319.3
26;1424.8;88.85;317.5;317.5
27;1425.0;89.05;315.5;315.5
28;1425.2;89.6;311.7;311.7
29;1425.25;89.6;314.2;314.2
30;1424.95;89.25;314.8;314.8
31;1425.2;89.25;316.9;316.9
32;1425.1;89.15;313.15;313.15
33;1425.5;89.1;312.55;312.55
34;1425.65;89.1;313.25;313.25
35;1424.95;88.75;315.7;315.7
36;1425.25;88.55;318.45;318.45
37;1425.35;88.4;319.7;319.7
38;1425.3;88.35;319.8;319.8
39;1425.3;88.5;318.25;318.25
40;1425.15;88.15;318.65;318.65
41;1425.45;88.3;319.3;319.3
42;1425.55;88.25;318.95;318.95
43;1425.45;87.9;320.8;320.8
44;1425.6;87.6;323.5;323.5
45;1425.9;89.0;326.05;326.05
46;1426.1;88.8;326.2;326.2
47;1425.95;88.35;328.8;328.8
48;1425.5;87.75;330.05;330.05
49;1426.0;87.8;328.4;328.4
50;1426.1;88.95;331.4;331.4
51;1425.8;88.45;329.75;329.75
52;1425.55;88.3;332.8;332.8
53;1424.55;88.05;330.65;330.65
54;1424.95;88.05;329.85;329.85
55;1425.1;90.15;330.3;330.3
56;1425.3;90.1;327.9;327.9
57;1425.15;89.95;327.75;327.75
58;1424.6;89.6;326.0;326.0
59;1425.1;89.55;327.5;327.5
60;1425.05;91.6;329.35;329.35
61;1425.4;91.35;328.95;328.95
62;1425.05;91.15;328.45;328.45
63;1425.45;91.55;325.75;325.75
64;1425.0;91.75;326.15;326.15
65;1425.1;90.45;323.7;323.7
66;1424.9;90.5;326.1;326.1
67;1425.15;90.65;323.75;323.75
68;1425.35;90.95;325.75;325.75
69;1424.65;91.0;327.55;327.55
70;1424.5;89.85;326.65;326.65
71;1424.8;90.35;326.4;326.4
72;1425.1;90.45;324.0;324.0
73;1425.95;91.15;327.05;327.05
74;1425.35;91.0;329.95;329.95
75;1425.25;89.1;328.4;328.4
76;1425.25;89.3;328.75;328.75
77;1425.4;89.8;330.2;330.2
78;1426.4;90.15;332.0;332.0
79;1425.45;90.2;331.45;331.45
80;1425.9;88.4;330.85;330.85
81;1425.4;88.6;333.5;333.5
82;1425.45;88.9;336.2;336.2
83;1425.6;89.35;336.3;336.3
84;1425.55;89.25;335.7;335.7
85;1425.35;89.05;334.9;334.9
86;1425.85;89.25;334.6;334.6
87;1425.4;89.55;336.85;336.85
88;1425.25;89.5;334.0;334.0
89;1425.65;89.4;334.2;334.2
90;1425.7;89.9;334.8;334.8
91;1425.8;89.85;337.65;337.65
92;1425.6;90.0;336.7;336.7
93;1425.0;89.4;335.9;335.9
94;1425.65;89.55;332.75;332.75
95;1425.7;90.35;334.3;334.3
96;1425.85;90.15;334.2;334.2
97;1425.4;89.7;332.1;332.1
98;1425.2;89.55;329.95;329.95
99;1426.1;89.55;327.1;327.1
100;1424.75;90.5;325.95;325.95
101;1425.85;90.1;323.25;323.25
102;1425.7;90.5;323.9;323.9
103;1425.85;90.05;323.55;323.55
104;1426.75;90.05;323.4;323.4
105;1425.3;90.5;327.25;327.25
106;1426.35;89.95;326.05;326.05
107;1425.95;92.0;327.6;327.6
108;1426.45;91.55;327.95;327.95
109;1426.6;91.4;325.7;325.7
110;1425.15;91.4;326.05;326.05
111;1426.35;91.15;323.05;323.05
112;1425.6;91.65;327.5;327.5
113;1426.1;91.55;325.7;325.7
114;1426.05;91.15;328.95;328.95
115;1424.8;91.05;325.2;325.2
116;1425.9;91.0;323.8;323.8
117;1424.85;92.0;322.8;322.8
118;1424.8;91.75;324.75;324.75
119;1424.75;91.15;327.6;327.6
120;1424.55;90.85;330.35;330.35
121;1425.0;90.8;332.3;332.3
122;1424.25;91.0;332.55;332.55
123;1424.75;90.7;333.4;333.4
124;1424.2;90.35;331.1;331.1
125;1424.25;90.65;327.95;327.95
126;1424.15;90.7;326.05;326.05
127;1423.8;89.3;325.6;325.6
128;1423.8;89.3;328.55;328.55
129;1423.55;89.2;331.25;331.25
130;1424.05;89.35;330.4;330.4
131;1423.8;89.25;330.55;330.55
132;1424.2;89.5;331.4;331.4
133;1424.35;89.5;333.3;333.3
134;1424.3;89.6;330.6;330.6
135;1424.55;89.75;331.3;331.3
136;1424.2;89.5;334.35;334.35
