EXP_Time;EXP_PosRef;EXP_PosFb;EXP_Pressure_A;EXP_Pressure_B;EXP_Speed;EXP_Velocity;Exp_Current
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.007;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.008;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.009;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.011;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.012;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.013;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.014;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.016;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.017;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.018;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.019;0.000;0.000;5.294;0.000;0.000;0.000;1430.550
0.020;0.000;0.000;5.281;0.000;0.000;0.000;1431.950
0.021;0.000;0.000;5.328;0.000;0.000;0.000;1430.900
0.022;0.000;0.000;5.338;0.000;0.000;0.000;1432.350
0.023;0.000;0.000;5.344;0.000;0.000;0.000;1430.950
0.024;0.000;0.000;5.331;0.000;0.000;0.000;1431.950
0.025;0.000;0.000;5.309;0.000;0.000;0.000;1430.150
0.026;0.000;0.000;5.297;0.000;0.000;0.000;1431.200
0.027;0.000;0.000;5.216;0.000;0.000;0.000;1429.850
0.028;0.000;0.000;5.197;0.000;0.000;0.000;1430.950
0.029;0.000;0.000;5.075;0.000;0.000;0.000;1429.850
0.030;0.000;0.000;5.075;0.000;0.000;0.000;1430.500
0.031;0.000;0.000;5.050;0.000;0.000;0.000;1429.600
0.032;0.000;0.000;5.016;0.000;0.000;0.000;1430.050
0.033;0.000;0.000;4.994;0.000;0.000;0.000;1430.000
0.034;0.000;0.000;4.972;0.000;0.000;0.000;1429.950
0.035;0.000;0.000;4.966;0.000;0.000;0.000;1429.550
0.036;0.000;0.000;4.959;0.000;0.000;0.000;1429.700
0.037;0.000;0.000;4.938;0.000;0.000;0.000;1429.000
0.038;0.000;0.000;4.916;0.000;0.000;0.000;1429.050
0.039;0.000;0.000;4.878;0.000;0.000;0.000;1428.650
0.040;0.000;0.000;4.862;0.000;0.000;0.000;1428.400
0.041;0.000;0.000;4.844;0.000;0.000;0.000;1428.850
0.042;0.000;0.000;4.862;0.000;0.000;0.000;1428.250
0.043;0.000;0.000;4.850;0.000;0.000;0.000;1429.300
0.044;0.000;0.000;4.944;0.000;0.000;0.000;1428.800
0.045;0.000;0.000;4.916;0.000;0.000;0.000;1430.400
0.046;0.000;0.000;5.069;0.000;0.000;0.000;1429.450
0.047;0.000;0.000;5.034;0.000;0.000;0.000;1430.850
0.048;0.000;0.000;5.081;0.000;0.000;0.000;1430.000
0.049;0.000;0.000;5.028;0.000;0.000;0.000;1430.850
0.050;0.000;0.000;5.037;0.000;0.000;0.000;1429.450
0.051;0.000;0.000;4.994;0.000;0.000;0.000;1430.800
0.052;0.000;0.000;5.009;0.000;0.000;0.000;1429.250
0.053;0.000;0.000;4.978;0.000;0.000;0.000;1430.350
0.054;0.000;0.000;5.006;0.000;0.000;0.000;1429.000
0.055;0.000;0.000;4.950;0.000;0.000;0.000;1430.650
0.056;0.000;0.000;4.975;0.000;0.000;0.000;1429.150
0.057;0.000;0.000;4.931;0.000;0.000;0.000;1431.200
