time;ADC1_Channel_1;ADC1_Channel_2;ADC1_Channel_3;ADC1_Channel_4
0;15;42;363;0
1;21;47;362;0
2;16;37;365;0
3;21;36;362;0
4;22;40;362;0
5;15;36;361;0
6;22;37;362;0
7;18;36;362;0
8;12;38;366;0
9;22;37;365;0
10;12;37;358;0
11;12;34;362;0
12;22;41;365;0
13;14;38;363;0
14;21;36;364;0
15;22;37;362;0
16;15;37;361;0
17;21;36;352;0
18;35;36;363;0
19;24;32;362;0
20;22;30;366;0
21;15;34;370;0
22;22;35;362;0
23;22;36;362;0
24;16;37;362;0
25;21;36;361;0
26;20;37;362;0
27;15;36;364;0
28;21;37;360;0
29;13;37;366;0
30;3;34;364;0
31;25;35;362;0
32;15;37;366;0
33;24;36;363;0
34;21;38;363;0
35;15;37;362;0
36;21;36;361;0
37;18;37;364;0
38;15;52;365;0
39;22;38;360;0
40;13;36;344;0
41;21;36;365;0
42;20;40;363;0
43;15;36;362;0
44;17;40;359;0
45;22;38;365;0
46;15;35;362;0
47;21;36;361;0
48;38;36;362;0
49;17;45;361;0
50;21;50;364;0
51;16;37;366;0
52;28;36;363;0
53;22;36;364;0
54;15;37;361;0
55;22;37;362;0
56;21;37;363;0
57;15;19;364;0
58;21;36;370;0
59;17;37;364;0
60;14;34;365;0
61;22;32;360;0
62;14;37;360;0
63;22;36;363;0
64;22;38;365;0
65;15;36;362;0
66;21;36;361;0
67;24;36;365;0
68;16;45;362;0
69;22;45;361;0
70;16;37;354;0
71;12;34;363;0
72;22;36;361;0
73;15;37;365;0
74;22;36;362;0
75;22;39;362;0
76;15;36;363;0
77;21;35;362;0
78;19;36;362;0
79;15;39;364;0
80;27;31;367;0
81;16;36;372;0
82;4;32;362;0
83;22;33;364;0
84;15;37;364;0
85;25;36;362;0
86;22;37;362;0
87;15;37;361;0
88;21;36;361;0
89;23;36;362;0
90;16;57;363;0
91;21;39;365;0
92;12;37;344;0
93;14;30;362;0
94;21;36;363;0
95;15;37;365;0
96;23;36;364;0
97;21;39;365;0
98;15;37;363;0
99;21;36;355;0
100;42;37;361;0
101;16;44;362;0
102;21;34;357;0
103;10;36;361;0
104;23;36;364;0
105;22;34;361;0
106;13;36;361;0
107;24;35;362;0
108;22;37;362;0
109;15;36;361;0
110;21;36;361;0
111;9;37;363;0
112;15;55;363;0
113;22;37;361;0
114;15;37;369;0
115;1;32;362;0
116;22;38;364;0
117;16;37;365;0
118;20;36;361;0
119;21;38;362;0
120;18;37;365;0
121;21;36;362;0
122;21;37;361;0
123;16;28;364;0
124;21;36;359;0
125;18;38;361;0
126;34;33;362;0
127;22;27;360;0
128;13;37;366;0
129;30;33;365;0
130;21;39;365;0
131;14;36;361;0
132;21;37;365;0
133;25;38;364;0
134;15;37;362;0
135;21;36;361;0
136;17;38;363;0
137;16;50;362;0
138;21;41;364;0
139;14;37;345;0
140;11;34;362;0
141;21;34;363;0
142;14;36;366;0
143;22;37;363;0
144;22;37;362;0
145;15;37;362;0
146;22;36;363;0
147;4;36;362;0
148;15;51;363;0
149;22;36;357;0
150;11;37;358;0
151;19;33;361;0
152;21;33;361;0
153;14;37;360;0
154;20;36;362;0
155;21;36;362;0
156;16;36;361;0
157;21;36;359;0
158;25;36;361;0
159;16;52;364;0
160;21;45;360;0
161;11;36;347;0
162;24;36;365;0
163;21;38;362;0
164;15;36;360;0
165;16;30;360;0
166;22;37;363;0
167;15;28;365;0
168;21;37;369;0
169;22;38;362;0
170;25;39;363;0
171;21;28;363;0
172;14;36;367;0
173;25;36;364;0
