time;ADC1_Channel_1;ADC1_Channel_2;ADC1_Channel_3;ADC1_Channel_4
0;0;0;1000;0
1;0;0;1000;0
2;0;0;1000;0
3;0;0;1000;0
4;0;0;1000;0
5;0;0;1000;0
6;0;0;1000;0
7;0;0;1000;0
8;0;0;1000;0
9;0;0;1000;0
10;0;0;1000;0
11;0;0;1000;0
12;0;0;1000;0
13;0;0;1000;0
14;0;0;1000;0
15;0;0;1000;0
16;0;0;1000;0
17;0;0;1000;0
18;0;0;1000;0
19;0;0;1000;0
20;0;0;1000;0
21;0;0;1000;0
22;0;0;1000;0
23;0;0;1000;0
24;0;0;1000;0
25;0;0;1000;0
26;0;0;1000;0
27;0;0;1000;0
28;0;0;1000;0
29;0;0;1000;0
30;0;0;1000;0
31;0;0;1000;0
32;0;0;1000;0
33;0;0;1000;0
34;0;0;1000;0
35;0;0;1000;0
36;0;0;1000;0
37;0;0;1000;0
38;0;0;1000;0
39;0;0;1000;0
40;0;0;1000;0
41;0;0;1000;0
42;0;0;1000;0
43;0;0;1000;0
44;0;0;1000;0
45;0;0;1000;0
46;0;0;1000;0
47;0;0;1000;0
48;0;0;1000;0
49;0;0;1000;0
50;0;0;1000;0
51;0;0;1000;0
52;0;0;1000;0
53;0;0;1000;0
54;0;0;1000;0
55;0;0;1000;0
56;0;0;1000;0
57;0;0;1000;0
58;0;0;1000;0
59;0;0;1000;0
60;0;0;1000;0
61;0;0;1000;0
62;0;0;1000;0
63;0;0;1000;0
64;0;0;1000;0
65;0;0;1000;0
66;0;0;1000;0
67;0;0;1000;0
68;0;0;1000;0
69;0;0;1000;0
70;0;0;1000;0
71;0;0;1000;0
72;0;0;1000;0
73;0;0;1000;0
74;0;0;1000;0
75;0;0;1000;0
76;0;0;1000;0
77;0;0;1000;0
78;0;0;1000;0
79;0;0;1000;0
80;0;0;1000;0
81;0;0;1000;0
82;0;0;1000;0
83;0;0;1000;0
84;0;0;1000;0
85;0;0;1000;0
86;0;0;1000;0
87;0;0;1000;0
88;0;0;1000;0
89;0;0;1000;0
90;0;0;1000;0
91;0;0;1000;0
92;0;0;1000;0
93;0;0;1000;0
94;0;0;1000;0
95;0;0;1000;0
96;0;0;1000;0
97;0;0;1000;0
98;0;0;1000;0
99;0;0;1000;0
100;0;0;1000;0
101;0;0;1000;0
102;0;0;1000;0
103;0;0;1000;0
104;0;0;1000;0
105;0;0;1000;0
106;0;0;1000;0
107;0;0;1000;0
108;0;0;1000;0
109;0;0;1000;0
110;0;0;1000;0
111;0;0;1000;0
112;0;0;1000;0
113;0;0;1000;0
114;0;0;1000;0
115;0;0;1000;0
116;0;0;1000;0
117;0;0;1000;0
118;0;0;1000;0
119;0;0;1000;0
120;0;0;1000;0
121;0;0;1000;0
122;0;0;1000;0
123;0;0;1000;0
124;0;0;1000;0
125;0;0;1000;0
126;0;0;1000;0
127;0;0;1000;0
128;0;0;1000;0
129;0;0;1000;0
130;0;0;1000;0
131;0;0;1000;0
132;0;0;1000;0
133;0;0;1000;0
134;0;0;1000;0
135;0;0;1000;0
136;0;0;1000;0
137;0;0;1000;0
138;0;0;1000;0
139;0;0;1000;0
140;0;0;1000;0
141;0;0;1000;0
142;0;0;1000;0
143;0;0;1000;0
144;0;0;1000;0
145;0;0;1000;0
146;0;0;1000;0
147;0;0;1000;0
148;0;0;1000;0
149;0;0;1000;0
150;0;0;1000;0
151;0;0;1000;0
152;0;0;1000;0
153;0;0;1000;0
154;0;0;1000;0
155;0;0;1000;0
156;0;0;1000;0
157;0;0;1000;0
158;0;0;1000;0
159;0;0;1000;0
160;0;0;1000;0
161;0;0;1000;0
162;0;0;1000;0
163;0;0;1000;0
164;0;0;1000;0
165;0;0;1000;0
166;0;0;1000;0
167;0;0;1000;0
168;0;0;1000;0
169;0;0;1000;0
170;0;0;1000;0
171;0;0;1000;0
172;0;0;1000;0
173;0;0;1000;0
174;0;0;1000;-3
175;0;0;1000;0
176;0;0;1000;0
177;0;0;1000;3
178;0;0;1000;0
179;0;0;1000;3
180;0;0;1000;0
181;0;0;1000;0
182;0;0;1000;3
183;0;0;1000;0
184;0;0;1000;0
185;0;0;1000;0
186;0;0;1000;0
187;0;0;1000;3
188;0;0;1000;0
189;0;0;1000;0
190;0;0;1000;-3
191;0;0;1000;-3
192;0;0;1000;0
193;0;0;1000;0
194;0;0;1000;0
195;0;0;1000;-3
196;0;0;1000;0
197;0;0;1000;0
198;0;0;1000;0
199;0;0;1000;0
200;0;0;1000;0
201;0;0;1000;3
202;0;0;1000;-3
203;0;0;1000;0
204;0;0;1000;0
205;0;0;1000;0
206;0;0;1000;0
207;0;0;1000;-3
208;0;0;1000;0
209;0;0;1000;3
210;0;0;1000;-3
211;0;0;1000;3
212;0;0;1000;0
213;0;0;1000;0
214;0;0;1000;0
215;0;0;1000;0
216;0;0;1000;0
217;0;0;1000;0
218;0;0;1000;0
219;0;0;1000;0
220;0;0;1000;0
221;0;0;1000;-3
222;0;0;1000;0
223;0;0;1000;0
224;0;0;1000;0
225;0;0;1000;0
226;0;0;1000;0
227;0;0;1000;0
228;0;0;1000;0
229;0;0;1000;0
230;0;0;1000;0
231;0;0;1000;0
232;0;0;1000;0
233;0;0;1000;0
234;0;0;1000;0
235;0;0;1000;0
236;0;0;1000;0
237;0;0;1000;0
238;0;0;1000;0
239;0;0;1000;0
240;0;0;1000;0
241;0;0;1000;-3
242;0;0;1000;0
243;0;0;1000;0
244;0;0;1000;0
245;0;0;1000;0
246;0;0;1000;0
247;0;0;1000;0
248;0;0;1000;0
249;0;0;1000;0
250;0;0;1000;0
251;0;0;1000;0
252;0;0;1000;0
253;0;0;1000;0
254;0;0;1000;0
255;0;0;1000;0
256;0;0;1000;0
257;0;0;1000;0
258;0;0;1000;0
259;0;0;1000;0
260;0;0;1000;0
261;0;0;1000;0
262;0;0;1000;0
263;0;0;1000;0
264;0;0;1000;0
265;0;0;1000;0
266;0;0;1000;0
267;0;0;1000;0
268;0;0;1000;0
269;0;0;1000;0
270;0;0;1000;0
271;0;0;1000;0
272;0;0;1000;0
273;0;0;1000;0
274;0;0;1000;0
275;0;0;1000;0
276;0;0;1000;0
277;0;0;1000;0
278;0;0;1000;0
279;0;0;1000;0
280;0;0;1000;0
281;0;0;1000;0
282;0;0;1000;0
283;0;0;1000;0
284;0;0;1000;0
285;0;0;1000;0
286;0;0;1000;0
287;0;0;1000;0
288;0;0;1000;0
289;0;0;1000;0
290;0;0;1000;0
291;0;0;1000;0
292;0;0;1000;0
293;0;0;1000;0
294;0;0;1000;0
295;0;0;1000;0
296;0;0;1000;0
297;0;0;1000;0
298;0;0;1000;0
299;0;0;1000;0
300;0;0;1000;0
301;0;0;1000;0
302;0;0;1000;0
303;0;0;1000;0
304;0;0;1000;0
305;0;0;1000;0
306;0;0;1000;0
307;0;0;1000;0
308;0;0;1000;0
309;0;0;1000;0
310;0;0;1000;0
311;0;0;1000;0
312;0;0;1000;0
313;0;0;1000;0
314;0;0;1000;0
315;0;0;1000;0
316;0;0;1000;0
317;0;0;1000;0
318;0;0;1000;0
319;0;0;1000;0
320;0;0;1000;0
321;0;0;1000;0
322;0;0;1000;0
323;0;0;1000;0
324;0;0;1000;0
325;0;0;1000;0
326;0;0;1000;0
327;0;0;1000;0
328;0;0;1000;0
329;0;0;1000;0
330;0;0;1000;0
331;0;0;1000;0
332;0;0;1000;0
333;0;0;1000;0
334;0;0;1000;0
335;0;0;1000;0
336;0;0;1000;0
337;0;0;1000;0
338;0;0;1000;0
339;0;0;1000;0
340;0;0;1000;0
341;0;0;1000;0
342;0;0;1000;0
343;0;0;1000;0
344;0;0;1000;0
345;0;0;1000;0
346;0;0;1000;0
347;0;0;1000;0
348;0;0;1000;0
349;0;0;1000;0
350;0;0;1000;0
351;0;0;1000;0
352;0;0;1000;0
353;0;0;1000;0
354;0;0;1000;0
355;0;0;1000;0
356;0;0;1000;0
357;0;0;1000;0
358;0;0;1000;0
359;0;0;1000;0
360;0;0;1000;0
361;0;0;1000;0
362;0;0;1000;0
363;0;0;1000;0
364;0;0;1000;0
365;0;0;1000;0
366;0;0;1000;0
367;0;0;1000;0
368;0;0;1000;0
369;0;0;1000;0
370;0;0;1000;0
371;0;0;1000;0
372;0;0;1000;0
373;0;0;1000;0
374;0;0;1000;0
375;0;0;1000;0
376;0;0;1000;0
377;0;0;1000;0
378;0;0;1000;0
379;0;0;1000;0
380;0;0;1000;0
381;0;0;1000;0
382;0;0;1000;0
383;0;0;1000;0
384;0;0;1000;0
385;0;0;1000;0
386;0;0;1000;0
387;0;0;1000;0
388;0;0;1000;0
389;0;0;1000;0
390;0;0;1000;0
391;0;0;1000;0
392;0;0;1000;0
393;0;0;1000;0
394;0;0;1000;0
395;0;0;1000;0
396;0;0;1000;0
397;0;0;1000;0
398;0;0;1000;0
399;0;0;1000;0
400;0;0;1000;0
401;0;0;1000;0
402;0;0;1000;0
403;0;0;1000;0
404;0;0;1000;0
405;0;0;1000;0
406;0;0;1000;0
407;0;0;1000;0
408;0;0;1000;0
409;0;0;1000;0
410;0;0;1000;0
411;0;0;1000;0
412;0;0;1000;0
413;0;0;1000;0
414;0;0;1000;0
415;0;0;1000;0
416;0;0;1000;0
417;0;0;1000;0
418;0;0;1000;0
419;0;0;1000;0
420;0;0;1000;0
421;0;0;1000;0
422;0;0;1000;0
423;0;0;1000;0
424;0;0;1000;0
425;0;0;1000;0
426;0;0;1000;0
427;0;0;1000;0
428;0;0;1000;0
429;0;0;1000;0
430;0;0;1000;0
431;0;0;1000;0
432;0;0;1000;0
433;0;0;1000;0
434;0;0;1000;0
435;0;0;1000;0
436;0;0;1000;0
437;0;0;1000;0
438;0;0;1000;0
439;0;0;1000;0
440;0;0;1000;0
441;0;0;1000;0
442;0;0;1000;0
443;-9;0;0;0
444;-19;0;0;-6
445;-29;0;0;-15
446;-39;0;0;-33
447;-49;0;0;-39
448;-59;0;0;-54
449;-69;0;0;-60
450;-79;-1;0;-78
451;-89;-1;0;-99
452;-99;-1;0;-81
453;-109;-1;0;-90
454;-119;-2;0;-141
455;-129;-2;0;-99
456;-139;-3;0;-126
457;-149;-4;0;-165
458;-159;-5;0;-117
459;-169;-7;0;-183
460;-179;-10;0;-150
461;-189;-14;0;-201
462;-199;-17;0;-177
463;-209;-21;0;-156
464;-219;-25;0;-234
465;-229;-30;0;-177
466;-239;-35;0;-189
467;-249;-40;0;-234
468;-259;-45;0;-189
469;-269;-49;0;-198
470;-279;-54;0;-273
471;-289;-59;0;-219
472;-299;-64;0;-192
473;-309;-69;0;-270
474;-319;-75;0;-258
475;-329;-80;0;-231
476;-339;-85;0;-228
477;-349;-89;0;-246
478;-359;-94;0;-288
479;-369;-98;0;-318
480;-379;-102;0;-333
481;-389;-106;0;-309
482;-399;-109;0;-261
483;-409;-113;0;-288
484;-419;-116;0;-291
485;-429;-119;0;-249
486;-439;-121;0;-288
487;-449;-124;0;-297
488;-459;-127;0;-279
489;-469;-129;0;-327
490;-479;-132;0;-306
491;-489;-134;0;-387
492;-499;-136;0;-402
493;-509;-138;0;-330
494;-519;-139;0;-384
495;-529;-141;0;-333
496;-539;-143;0;-279
497;-549;-145;0;-318
498;-559;-146;0;-330
499;-569;-148;0;-309
500;-579;-151;0;-345
501;-589;-156;0;-339
502;-599;-163;0;-288
503;-609;-171;0;-330
504;-619;-180;0;-309
505;-629;-188;0;-264
506;-639;-196;0;-300
507;-649;-203;0;-306
508;-659;-211;0;-258
509;-669;-219;0;-288
510;-679;-227;0;-285
511;-689;-234;0;-258
512;-699;-242;0;-291
513;-709;-249;0;-291
514;-719;-257;0;-288
515;-729;-265;0;-300
516;-739;-273;0;-303
517;-749;-282;0;-300
518;-759;-291;0;-303
519;-769;-299;0;-321
520;-779;-307;0;-279
521;-789;-315;0;-321
522;-799;-323;0;-288
523;-809;-331;0;-309
524;-819;-339;0;-345
525;-829;-347;0;-309
526;-839;-355;0;-366
527;-849;-363;0;-378
528;-859;-371;0;-315
529;-869;-380;0;-372
530;-879;-388;0;-378
531;-889;-396;0;-321
532;-899;-404;0;-348
533;-909;-412;0;-360
534;-919;-420;0;-306
535;-929;-428;0;-336
536;-939;-435;0;-327
537;-949;-443;0;-288
538;-959;-452;0;-312
539;-969;-461;0;-303
540;-979;-469;0;-267
541;-989;-477;0;-297
542;-999;-485;0;-288
543;-1009;-493;0;-258
544;-1019;-501;0;-300
545;-1029;-508;0;-300
546;-1039;-516;0;-273
547;-1049;-524;0;-318
548;-1059;-532;0;-321
549;-1069;-541;0;-291
550;-1079;-550;0;-357
551;-1089;-557;0;-348
552;-1099;-565;0;-312
553;-1109;-573;0;-372
554;-1119;-581;0;-381
555;-1129;-588;0;-360
556;-1139;-596;0;-324
557;-1149;-604;0;-375
558;-1159;-613;0;-360
559;-1169;-622;0;-300
560;-1179;-629;0;-357
561;-1189;-637;0;-339
562;-1199;-645;0;-282
563;-1209;-652;0;-318
564;-1219;-660;0;-318
565;-1229;-668;0;-264
566;-1239;-675;0;-297
567;-1249;-683;0;-300
568;-1259;-692;0;-258
569;-1269;-700;0;-291
570;-1279;-709;0;-300
571;-1289;-716;0;-264
572;-1299;-724;0;-306
573;-1309;-731;0;-324
574;-1319;-739;0;-285
575;-1329;-747;0;-330
576;-1339;-754;0;-345
577;-1349;-762;0;-318
578;-1359;-771;0;-354
579;-1369;-779;0;-360
580;-1379;-788;0;-330
581;-1389;-795;0;-378
582;-1399;-803;0;-360
583;-1409;-811;0;-324
584;-1419;-818;0;-372
585;-1429;-826;0;-357
586;-1439;-833;0;-342
587;-1449;-841;0;-309
588;-1459;-850;0;-336
589;-1469;-858;0;-321
590;-1479;-867;0;-276
591;-1489;-874;0;-318
592;-1499;-881;0;-297
593;-1509;-889;0;-258
594;-1519;-897;0;-300
595;-1529;-905;0;-294
596;-1539;-912;0;-255
597;-1549;-919;0;-300
598;-1559;-928;0;-300
599;-1569;-936;0;-267
600;-1579;-945;0;-321
601;-1589;-953;0;-324
602;-1599;-961;0;-288
603;-1609;-968;0;-339
604;-1619;-976;0;-360
605;-1629;-983;0;-351
606;-1639;-991;0;-315
607;-1649;-999;0;-375
608;-1659;-1008;0;-378
609;-1669;-1016;0;-315
610;-1679;-1025;0;-369
611;-1689;-1033;0;-372
612;-1699;-1040;0;-315
613;-1709;-1048;0;-342
614;-1719;-1056;0;-354
615;-1729;-1063;0;-336
616;-1739;-1071;0;-285
617;-1749;-1079;0;-321
618;-1759;-1088;0;-324
619;-1769;-1097;0;-264
620;-1779;-1105;0;-300
621;-1789;-1113;0;-300
622;-1799;-1120;0;-258
623;-1809;-1128;0;-288
624;-1819;-1135;0;-294
625;-1829;-1143;0;-258
626;-1839;-1151;0;-291
627;-1849;-1159;0;-303
628;-1859;-1167;0;-309
629;-1869;-1176;0;-270
630;-1879;-1184;0;-318
631;-1889;-1192;0;-339
632;-1899;-1199;0;-291
633;-1909;-1207;0;-339
634;-1919;-1215;0;-354
635;-1929;-1223;0;-372
636;-1939;-1231;0;-312
637;-1949;-1239;0;-363
638;-1959;-1247;0;-378
639;-1969;-1256;0;-327
640;-1979;-1264;0;-357
641;-1989;-1272;0;-369
642;-1999;-1280;0;-321
643;-2000;-1288;0;-354
644;-2000;-1296;0;-339
645;-2000;-1304;0;-348
646;-2000;-1312;0;-291
647;-2000;-1320;0;-324
648;-2000;-1327;0;-315
649;-2000;-1336;0;-279
650;-2000;-1344;0;-303
651;-2000;-1352;0;-297
652;-2000;-1360;0;-261
653;-2000;-1369;0;-261
654;-2000;-1377;0;-291
655;-2000;-1385;0;-294
656;-2000;-1393;0;-258
657;-2000;-1401;0;-294
658;-2000;-1409;0;-306
659;-2000;-1418;0;-270
660;-2000;-1426;0;-309
661;-2000;-1434;0;-318
662;-2000;-1442;0;-339
663;-2000;-1450;0;-291
664;-2000;-1458;0;-339
665;-2000;-1466;0;-351
666;-2000;-1474;0;-324
667;-2000;-1482;0;-354
668;-2000;-1490;0;-360
669;-2000;-1498;0;-372
670;-2000;-1506;0;-324
671;-2000;-1514;0;-357
672;-2000;-1522;0;-366
673;-2000;-1530;0;-327
674;-2000;-1538;0;-360
675;-2000;-1545;0;-342
676;-2000;-1553;0;-357
677;-2000;-1561;0;-306
678;-2000;-1569;0;-339
679;-2000;-1577;0;-327
680;-2000;-1585;0;-297
681;-2000;-1593;0;-327
682;-2000;-1601;0;-315
683;-2000;-1609;0;-312
684;-2000;-1617;0;-276
685;-2000;-1625;0;-303
686;-2000;-1633;0;-300
687;-2000;-1641;0;-264
688;-2000;-1649;0;-303
689;-2000;-1657;0;-288
690;-2000;-1665;0;-288
691;-2000;-1673;0;-252
