time;ADC1_Channel_1;ADC1_Channel_2;ADC1_Channel_3;ADC1_Channel_4
0;21;35;362;0
1;21;38;366;0
2;14;36;366;0
3;14;34;361;0
4;21;21;364;0
5;15;37;372;0
6;16;42;362;0
7;21;36;368;0
8;26;38;363;0
9;16;32;364;0
10;22;36;362;0
11;22;37;365;0
12;15;36;363;0
13;24;36;362;0
14;24;37;363;0
15;15;35;366;0
16;21;35;364;0
17;22;36;365;0
18;11;36;358;0
19;25;36;362;0
20;21;38;365;0
21;15;36;362;0
22;16;47;363;0
23;21;35;363;0
24;1;36;363;0
25;16;36;362;0
26;23;37;365;0
27;19;41;361;0
28;15;36;364;0
29;21;35;365;0
30;22;40;365;0
31;15;36;366;0
32;19;35;364;0
33;22;29;360;0
34;16;37;348;0
35;31;37;364;0
36;22;36;360;0
37;25;36;362;0
38;16;22;362;0
39;21;35;362;0
40;23;37;357;0
41;15;37;366;0
42;21;35;361;0
43;22;37;363;0
44;16;35;368;0
45;22;33;364;0
46;22;19;359;0
47;16;36;371;0
48;17;34;364;0
49;21;35;376;0
50;28;41;362;0
51;15;30;362;0
52;22;36;364;0
53;21;37;364;0
54;16;36;361;0
55;24;37;363;0
56;23;36;362;0
57;15;37;368;0
58;18;33;363;0
59;21;36;361;0
60;15;35;365;0
61;3;32;362;0
62;22;39;367;0
63;24;34;360;0
64;16;32;362;0
65;21;35;355;0
66;22;36;362;0
67;16;36;361;0
68;22;35;365;0
69;21;37;362;0
70;14;35;361;0
71;24;36;362;0
72;21;36;362;0
73;11;36;363;0
74;15;35;362;0
75;22;28;360;0
76;13;36;366;0
77;16;36;362;0
78;21;36;374;0
79;17;37;363;0
80;15;29;362;0
81;22;36;364;0
82;22;37;362;0
83;15;37;363;0
84;23;35;363;0
85;21;37;362;0
86;20;41;365;0
87;21;35;362;0
88;21;34;361;0
89;12;36;363;0
90;29;36;362;0
91;21;27;366;0
92;16;36;348;0
93;24;36;362;0
94;22;37;358;0
95;15;36;362;0
96;16;55;364;0
97;22;36;362;0
98;18;36;362;0
99;15;36;358;0
100;21;34;363;0
101;21;37;362;0
102;14;37;361;0
103;22;37;363;0
104;21;36;364;0
105;15;35;366;0
106;18;34;362;0
107;21;31;362;0
108;11;36;350;0
109;26;38;362;0
110;22;35;363;0
111;43;36;362;0
112;16;17;362;0
113;21;35;359;0
114;22;37;361;0
115;15;36;361;0
116;22;35;362;0
117;22;40;362;0
118;13;36;361;0
119;19;34;363;0
120;22;39;363;0
121;10;37;355;0
122;24;40;356;0
123;21;36;357;0
124;31;36;362;0
125;15;36;362;0
126;20;35;366;0
127;21;36;362;0
128;14;37;362;0
129;23;36;361;0
130;21;37;365;0
131;16;37;363;0
132;14;36;361;0
133;21;37;364;0
134;12;36;360;0
135;24;36;363;0
136;22;29;360;0
137;9;36;374;0
138;16;43;362;0
139;22;35;375;0
140;34;35;363;0
141;16;40;362;0
142;21;35;361;0
143;20;36;361;0
144;15;36;362;0
145;18;40;365;0
146;22;37;363;0
147;16;37;362;0
148;21;35;362;0
149;21;38;362;0
150;15;36;365;0
151;19;34;363;0
152;21;38;362;0
153;16;36;364;0
154;0;33;362;0
155;21;45;360;0
156;24;38;365;0
157;16;52;362;0
158;22;35;352;0
159;12;36;361;0
160;15;34;362;0
161;22;35;364;0
162;21;37;365;0
163;15;36;361;0
164;21;36;362;0
165;23;37;362;0
166;15;36;365;0
167;19;33;361;0
168;26;32;362;0
169;10;36;354;0
170;24;40;362;0
171;22;36;363;0
172;33;36;362;0
173;16;26;365;0
174;21;36;361;0
175;22;37;362;0
176;15;37;361;0
177;23;36;363;0
178;22;36;362;0
179;16;37;367;0
180;25;34;362;0
181;22;42;368;0
182;11;36;359;0
183;0;35;363;0
184;23;44;364;0
185;12;36;363;0
186;16;60;362;0
187;22;36;365;0
188;1;37;362;0
189;16;36;364;0
190;22;34;362;0
191;26;36;361;0
192;16;36;362;0
193;22;35;362;0
194;22;36;363;0
195;14;36;366;0
196;23;34;362;0
197;22;31;364;0
198;11;38;359;0
199;20;38;362;0
200;22;35;369;0
201;26;36;362;0
202;16;31;362;0
203;21;36;361;0
204;17;37;365;0
205;15;36;363;0
206;22;35;363;0
207;21;35;361;0
208;15;37;363;0
209;25;34;362;0
210;22;34;362;0
211;15;36;368;0
212;17;33;362;0
213;22;28;364;0
214;13;36;367;0
215;17;38;362;0
216;22;34;365;0
217;27;35;360;0
218;16;31;362;0
219;22;36;365;0
220;22;36;362;0
221;15;35;362;0
222;22;36;364;0
223;23;36;362;0
224;15;38;367;0
225;23;35;362;0
226;21;33;360;0
227;13;38;362;0
228;15;35;362;0
229;22;34;358;0
230;18;36;366;0
231;15;45;363;0
232;22;36;384;0
233;4;37;364;0
234;16;35;361;0
235;22;35;362;0
236;22;36;364;0
237;16;36;362;0
238;24;38;362;0
239;22;36;364;0
240;15;42;368;0
241;19;33;362;0
242;22;39;364;0
243;13;37;360;0
244;26;38;362;0
245;22;35;357;0
246;36;35;363;0
247;16;36;363;0
248;22;35;364;0
249;22;36;362;0
250;18;36;361;0
251;22;36;364;0
252;22;37;363;0
253;14;36;362;0
254;25;36;362;0
255;22;38;363;0
256;13;36;362;0
257;29;34;364;0
258;21;26;365;0
259;12;36;351;0
260;34;33;364;0
261;22;35;363;0
262;47;36;362;0
263;12;45;363;0
264;22;36;352;0
265;22;36;362;0
266;15;35;361;0
267;23;35;362;0
268;22;34;364;0
269;16;36;364;0
270;26;34;365;0
271;22;34;363;0
272;16;36;369;0
273;11;33;363;0
274;22;45;357;0
275;15;37;361;0
276;15;48;364;0
277;21;35;363;0
278;22;37;362;0
279;16;36;364;0
280;24;36;362;0
281;22;36;361;0
282;16;37;364;0
283;26;36;363;0
284;22;30;361;0
285;16;36;365;0
286;11;31;361;0
287;21;41;364;0
288;15;36;362;0
289;16;48;362;0
290;22;36;367;0
291;1;36;361;0
292;16;35;362;0
293;22;34;364;0
294;22;37;364;0
295;16;36;363;0
296;21;36;364;0
297;21;36;363;0
